Bavo Goldworthy
Jocelin Gamgee
Cottar Sandyman
Drogo Fleetfoot
Wazo Bramblethorn
Agobard Stoor
Wala Hornwood
Bob Proudmead
Grimbald Underburrow
Smeagol Butcher
Leufred Noakesburrow
Adalard Fairbairn
Bernard Greenhand
Warmann Fairfoot
Carl Chubb
Dinodas Knotwise
Imnachar Cotton
Gozolon Galbassi
Engelbert Swiftfoot
Childeric Boffin
Chunsina Leafwalker
Nicole Pott
Gudula Boffin
Gundrada Dewfoot
Emma Goodchild
Basina Tunnelly
Cornelia Bracegirdle
Neela Sackville-Baggins
Courtney Whitbottom
Alfrida Bottomhill
Tavia Goodbody
Regina Bilberry
Nina Burrowes
Jessamine Lightfoot
Gersvinda North-took
Melissa Tunnelly
Madison Longhole
Radogund Bottomhill
Paige Noakesburrow
Albofleda Townsend
Orderic Gammidge
Birinus Goodbody
Sunnegisil Butcher
Bruno Puddifoot
Jago Gardner
Flambard Pott
Godobald Goodenough
Bilba Bophin
Wandrille Goodbody
Farabert Townsend
